"order_id";"customer_name";"email";"city";"product_category";"order_date";"quantity";"unit_price";"discount_pct";"revenue";"customer_age";"customer_rating";"sales_rep";"payment_method";"rating_grade";"updated_quantity"
126;"Melissa Walker";"jharris@example.com";"Lagos";"Furniture";"2024-11-03";0;112.87;0;3629.35;33;1;"Aisha";"Card";"Poor";32.16
63;"Wyatt Hill";"elizabeth18@example.org";"Abuja";"Food";"2024-06-09";0;332.39;10;2925.93;48;5;"Mary";"Card";"Excellent";9.78
1;"Patrick Hatfield";"jennifershepherd@example.net";"Enugu";"Fashion";"2024-10-07";4;324.26;0;3714.77;65;4;"David";"Cash";"Good";11.46
64;"Melissa Reeves";"";"Lagos";"Furniture";"2025-09-23";1;264.09;10;2118.47;36;0;"No Rep";"Transfer";"No Rating";8.91
127;"Elizabeth Price";"kathleen94@example.net";"Ibadan";"Electronics";"2025-04-25";1;646.13;0;2036.52;19;4;"John";"Card";"Good";3.15
65;"Jacob Smith";"jasoncooper@example.net";"Ibadan";"Food";"2025-09-04";5;122.78;10;4011.11;48;3;"Ahmed";"Transfer";"Average";36.3
128;"Christopher Martin";"eric20@example.com";"Lagos";"Furniture";"2026-02-11";0;418.83;10;934.33;65;5;"Mary";"Transfer";"Excellent";2.48
66;"Larry Santiago";"jasmineoneill@example.net";"Unknown location";"Office Supplies";"2025-09-16";5;454.2;0;2044.35;69;5;"Aisha";"Cash";"Excellent";4.5
129;"Jason Jordan";"";"Port Harcourt";"Furniture";"2023-12-12";0;964.91;10;282.95;18;0;"John";"Card";"No Rating";0.33
67;"Michael Austin";"sarahbarrett@example.org";"Lagos";"Office Supplies";"2026-05-25";10;585.56;0;2496.79;64;0;"Ahmed";"Card";"No Rating";4.26
2;"Donald Williams";"bgraham@example.com";"Unknown location";"Fashion";"2024-08-15";10;516.3;5;1274.18;64;4;"John";"Card";"Good";2.6
68;"Kimberly Thompson";"hodgeedward@example.org";"Unknown location";"Food";"2025-11-07";3;929.01;0;4338.15;30;0;"Aisha";"Transfer";"No Rating";4.67
130;"Jeffery Rogers";"austingood@example.com";"Enugu";"Furniture";"2025-02-27";3;780.16;0;478.11;53;2;"Ahmed";"Mobile Money";"Fair";0.61
69;"Antonio King";"michael53@example.net";"Abuja";"Furniture";"2024-04-23";4;346.84;15;344.87;34;5;"No Rep";"Unspecified";"Excellent";1.17
3;"Marie Douglas";"margaret36@example.net";"Abuja";"Other";"2026-05-20";10;605.57;0;1572.81;36;5;"Ahmed";"Mobile Money";"Excellent";2.6
70;"Charles Dunn";"mjones@example.net";"Abuja";"Furniture";"2024-02-06";3;25.79;20;2573.83;68;0;"Chioma";"Card";"No Rating";124.75
4;"Michael Brady";"oconnoremily@example.com";"Kano";"Fashion";"2023-08-01";2;975.16;20;2535.78;26;4;"John";"Mobile Money";"Good";3.25
131;"Thomas Jacobs";"stephenskyle@example.org";"Unknown location";"Electronics";"2023-11-13";5;415.36;15;2642.15;67;0;"Mary";"Card";"No Rating";7.48
132;"Jessica Higgins";"billsmith@example.net";"Abuja";"Office Supplies";"2025-06-17";3;999.46;5;4657.28;63;1;"David";"Cash";"Poor";4.91
133;"Joel Castro";"hendrickslinda@example.com";"Abuja";"Furniture";"2024-12-19";1;329.99;0;3085.26;25;3;"Aisha";"Card";"Average";9.35
5;"Brittany Martin";"danielle32@example.org";"Abuja";"Food";"2026-02-05";3;983.27;0;3256.56;19;5;"No Rep";"Mobile Money";"Excellent";3.31
6;"Jaclyn Lewis";"rickyjackson@example.net";"Lagos";"Food";"2026-03-22";3;429.26;5;4886.59;36;5;"No Rep";"Transfer";"Excellent";11.98
187;"Tyler Li";"barnesjohn@example.com";"Abuja";"Other";"2024-02-03";0;20.02;0;3613.62;53;5;"John";"Mobile Money";"Excellent";180.5
7;"Katherine Jones";"njohnson@example.net";"Ibadan";"Food";"2024-07-13";0;824.25;0;4839.75;34;4;"Ahmed";"Mobile Money";"Good";5.87
71;"Jesus Hicks";"annettemartin@example.net";"Port Harcourt";"Fashion";"2024-09-13";0;926.36;10;1975.52;40;4;"Ahmed";"Mobile Money";"Good";2.37
8;"Nicholas Little";"christine95@example.com";"Lagos";"Furniture";"2024-06-02";1;815.3;0;794.36;50;5;"Chioma";"Transfer";"Excellent";0.97
72;"Mario Johnson";"";"Ibadan";"Electronics";"2023-10-20";0;825.87;5;980.6;26;3;"No Rep";"Card";"Average";1.25
134;"Nicholas Hall";"";"Port Harcourt";"Furniture";"2025-02-22";5;17.38;0;2129.9;39;3;"Mary";"Unspecified";"Average";122.55
135;"Steven Garcia";"";"Enugu";"Electronics";"2024-05-17";0;344.34;15;1867.43;19;1;"Chioma";"Transfer";"Poor";6.38
73;"Michael Chen";"amy73@example.com";"Lagos";"Food";"2025-06-01";3;526.76;0;4711.25;42;3;"John";"Transfer";"Average";8.94
74;"";"johnsuarez@example.org";"Ibadan";"Furniture";"2024-06-12";0;733.97;0;4233.41;36;3;"No Rep";"Unspecified";"Average";5.77
75;"Joshua Young";"johnsonwalter@example.com";"Enugu";"Other";"2024-04-24";4;996.23;5;3297.72;39;5;"No Rep";"Unspecified";"Excellent";3.48
76;"Amy Dougherty";"georgeschmidt@example.org";"Abuja";"Other";"2025-12-27";10;14.74;0;1862.7;64;0;"Mary";"Transfer";"No Rating";126.37
136;"Joshua Murray";"xjackson@example.net";"Lagos";"Electronics";"2024-06-12";2;682.89;15;4959.1;45;3;"Mary";"Mobile Money";"Average";8.54
77;"Breanna Meyer";"edavenport@example.net";"Enugu";"Food";"2026-03-15";2;711.91;0;3367.47;47;1;"David";"Cash";"Poor";4.73
137;"Mr. Brent Wilson";"iking@example.org";"Abuja";"Other";"2024-06-12";0;524.23;10;2819.39;49;5;"No Rep";"Cash";"Excellent";5.98
78;"Christopher Alvarado";"michaelphillips@example.org";"Ibadan";"Furniture";"2026-03-05";5;892.81;5;4885.01;52;2;"Chioma";"Unspecified";"Fair";5.76
138;"Lisa Johnston";"ramseyamy@example.org";"Enugu";"Office Supplies";"2024-02-18";0;831.79;15;4087.74;26;0;"No Rep";"Unspecified";"No Rating";5.78
139;"Edward Mitchell";"jeffrey29@example.org";"Kano";"Other";"2023-09-28";4;327.13;15;2754.06;47;3;"No Rep";"Unspecified";"Average";9.91
79;"Kelly Porter";"aprilcasey@example.com";"Kano";"Other";"2025-03-30";2;47.41;0;2080.64;0;3;"David";"Transfer";"Average";43.89
9;"Michelle Flores";"peter01@example.net";"Lagos";"Electronics";"2026-01-31";4;904.97;10;1337.87;62;5;"David";"Cash";"Excellent";1.64
10;"Jeremy Evans";"brandon97@example.net";"Port Harcourt";"Electronics";"2024-02-07";5;453.0;0;1715.91;0;0;"Mary";"Unspecified";"No Rating";3.79
80;"James Buck";"logandaniels@example.org";"Lagos";"Electronics";"2025-11-30";5;42.05;0;4686.6;40;2;"Ahmed";"Transfer";"Fair";111.45
140;"Ashley Ellis";"brownfelicia@example.org";"Lagos";"Fashion";"2024-02-24";5;946.08;5;3244.69;43;0;"Mary";"Unspecified";"No Rating";3.61
81;"Robert Livingston";"christopher72@example.net";"Unknown location";"Electronics";"2025-04-01";10;188.81;0;696.24;21;0;"Ahmed";"Unspecified";"No Rating";3.69
82;"Amanda Nelson";"jennifer49@example.net";"Kano";"Other";"2024-08-03";10;532.63;0;3380.79;40;4;"Aisha";"Cash";"Good";6.35
141;"Matthew Gomez";"reeseraymond@example.net";"Kano";"Office Supplies";"2024-02-21";10;736.15;20;1494.44;45;1;"No Rep";"Cash";"Poor";2.54
142;"Jeffrey Reed DDS";"";"Abuja";"Fashion";"2024-05-24";5;831.8;0;1657.64;39;1;"John";"Unspecified";"Poor";1.99
11;"Jose George";"john01@example.net";"Abuja";"Furniture";"2025-12-29";0;102.48;20;233.99;65;0;"David";"Cash";"No Rating";2.85
12;"John Morgan";"";"Enugu";"Electronics";"2024-05-23";1;51.47;15;3625.13;21;3;"Ahmed";"Transfer";"Average";82.86
143;"Robert Lucas";"oscarjefferson@example.com";"Enugu";"Other";"2024-02-05";2;859.28;20;1608.38;63;4;"No Rep";"Mobile Money";"Good";2.34
144;"David Rodgers";"davislori@example.net";"Ibadan";"Furniture";"2026-03-14";1;213.5;20;1790.4;47;0;"No Rep";"Card";"No Rating";10.48
13;"Billy Nelson";"scantu@example.net";"Abuja";"Office Supplies";"2025-04-12";0;233.16;0;869.12;57;0;"Chioma";"Unspecified";"No Rating";3.73
14;"James Porter";"morrisjeremy@example.net";"Lagos";"Fashion";"2025-09-15";10;271.1;15;2569.72;56;4;"No Rep";"Card";"Good";11.15
145;"Chad Horton";"alisonfranklin@example.com";"Ibadan";"Fashion";"2024-10-19";0;457.65;0;2723.69;63;5;"Chioma";"Mobile Money";"Excellent";5.95
15;"Monique Patel";"angela33@example.com";"Port Harcourt";"Electronics";"2024-01-17";3;669.01;15;3158.93;32;1;"Chioma";"Unspecified";"Poor";5.56
83;"Jamie Kelly";"jessica35@example.com";"Kano";"Other";"2024-07-12";4;48.26;10;2263.41;60;5;"No Rep";"Unspecified";"Excellent";52.11
16;"Elizabeth Warner";"sonia58@example.com";"Lagos";"Other";"2025-09-11";0;900.58;0;2767.39;20;2;"Aisha";"Unspecified";"Fair";3.07
146;"Christine Castaneda";"";"Kano";"Furniture";"2024-10-13";0;428.01;15;3945.81;50;0;"No Rep";"Mobile Money";"No Rating";10.85
17;"Tina Klein";"panderson@example.org";"Enugu";"Electronics";"2026-02-24";3;212.45;5;954.2;26;5;"Aisha";"Card";"Excellent";4.73
84;"";"michaelwoodard@example.com";"Unknown location";"Office Supplies";"2024-02-12";5;820.04;0;1262.17;18;3;"No Rep";"Card";"Average";1.54
147;"Rebecca Davis";"victoriamartinez@example.com";"Enugu";"Other";"2024-01-15";10;390.63;15;3361.63;34;5;"Ahmed";"Card";"Excellent";10.12
85;"Bob Anderson";"paul96@example.com";"Kano";"Food";"2025-03-24";2;319.39;20;4604.73;28;4;"John";"Cash";"Good";18.02
188;"Allison Morales";"";"Lagos";"Food";"2024-02-27";10;45.56;0;4904.91;49;3;"Ahmed";"Transfer";"Average";107.66
18;"Cynthia Taylor";"ajohnson@example.net";"Lagos";"Other";"2025-05-25";2;94.16;0;647.55;44;2;"No Rep";"Transfer";"Fair";6.88
149;"Rodney Parker";"lmartin@example.net";"Lagos";"Other";"2025-01-11";5;672.83;0;2519.65;63;5;"Ahmed";"Transfer";"Excellent";3.75
86;"Jason Mccann";"";"Abuja";"Office Supplies";"2025-05-18";5;511.81;0;765.28;68;4;"Chioma";"Card";"Good";1.5
19;"Natalie Alexander";"bowmanchad@example.net";"Abuja";"Electronics";"2023-09-23";10;453.85;0;4948.58;0;0;"Chioma";"Mobile Money";"No Rating";10.9
150;"Jeremy Brooks";"jwiley@example.org";"Lagos";"Food";"2025-11-18";0;131.65;0;1908.41;41;4;"John";"Mobile Money";"Good";14.5
87;"Jamie Edwards";"todd06@example.com";"Lagos";"Other";"2024-10-10";2;496.6;20;4770.72;55;1;"No Rep";"Unspecified";"Poor";12.01
20;"Holly Jacobs";"lrice@example.net";"Unknown location";"Office Supplies";"2023-12-16";2;315.78;0;2738.06;30;3;"Ahmed";"Mobile Money";"Average";8.67
151;"Walter Torres";"twelch@example.org";"Kano";"Other";"2026-03-23";2;325.42;10;1525.84;65;2;"Aisha";"Cash";"Fair";5.21
88;"Amanda Guerra";"jonathan32@example.net";"Lagos";"Food";"2025-11-01";0;885.69;20;1952.69;18;1;"Mary";"Card";"Poor";2.76
152;"John Moreno";"baileymatthew@example.net";"Lagos";"Office Supplies";"2025-04-06";3;831.6;0;4629.21;31;4;"No Rep";"Mobile Money";"Good";5.57
89;"Mark Clark";"pcuevas@example.net";"Unknown location";"Office Supplies";"2024-11-12";0;527.26;20;4461.06;45;5;"No Rep";"Card";"Excellent";10.58
153;"Cody Moss";"butlermatthew@example.net";"Lagos";"Office Supplies";"2025-05-02";4;656.36;0;524.74;18;5;"No Rep";"Unspecified";"Excellent";0.8
90;"Andrew Hamilton";"jennifermeyers@example.org";"Abuja";"Furniture";"2024-05-22";10;313.51;10;660.92;30;0;"Aisha";"Unspecified";"No Rating";2.34
154;"David Moore";"elizabethchavez@example.net";"Port Harcourt";"Furniture";"2023-07-04";10;394.68;0;3124.96;30;3;"No Rep";"Mobile Money";"Average";7.92
